# #time, Ca, CaM, CaMCa2C, CaMCa2N, CaMCa4
0.000000000000000000e+00,3.999685099799405634e+02,9.999766262520905684e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,3.060927013823791185e+02,9.537029375801793094e+02,1.760171411204277803e+01,2.800775893299888253e+01,6.642156268695387222e-01
2.000000000000000000e+01,2.693394366955979535e+02,9.353263052367889259e+02,3.232516050765088522e+01,3.166094488078134717e+01,6.642156268695387222e-01
3.000000000000000000e+01,2.593762022925548649e+02,9.312303088710933707e+02,4.306331314204175698e+01,2.413316777625990994e+01,1.549836462695590500e+00
4.000000000000000000e+01,2.452062689193380720e+02,9.233704239531372195e+02,5.258373712717182258e+01,2.324754694043385683e+01,7.749182313477952500e-01
5.000000000000000000e+01,2.283794730386430558e+02,9.156212416396591607e+02,5.944729860482372175e+01,2.346895214939037189e+01,1.439133858217333861e+00
6.000000000000000000e+01,2.177520230087304469e+02,9.105289218336592967e+02,6.453961841082352180e+01,2.324754694043385683e+01,1.660539067173846917e+00
7.000000000000000000e+01,2.190804542624695159e+02,9.114145426694855132e+02,6.885701998547551739e+01,1.782311932099928953e+01,1.881944276130359972e+00
8.000000000000000000e+01,2.115526771579480965e+02,9.069864384903551127e+02,7.273161114221448997e+01,1.904084797026011344e+01,1.217728649260821028e+00
9.000000000000000000e+01,2.062389521429917920e+02,9.041081707739205058e+02,7.616339188104045377e+01,1.870874015682534264e+01,9.963234403043080833e-01
1.000000000000000000e+02,2.011466323369919849e+02,9.030011447291379909e+02,7.727041792582301127e+01,1.726960629860800722e+01,2.435457298521642056e+00
1.100000000000000000e+02,1.916262083518619193e+02,8.992372561768771675e+02,7.970587522434465200e+01,1.760171411204277803e+01,3.431780738825950472e+00
1.200000000000000000e+02,1.929546396056010167e+02,8.975767171097032815e+02,8.546241065721397945e+01,1.583047244039067358e+01,1.107026044782564611e+00
1.300000000000000000e+02,1.805559479040362589e+02,8.917094790723557480e+02,8.811927316469213167e+01,1.870874015682534264e+01,1.439133858217333861e+00
1.400000000000000000e+02,1.816629739488188591e+02,8.919308842813122737e+02,9.000121744082250075e+01,1.693749848517323997e+01,1.107026044782564611e+00
1.500000000000000000e+02,1.843198364562969971e+02,8.939235311619208915e+02,9.110824348560505825e+01,1.317360993291251781e+01,1.771241671652103333e+00
1.600000000000000000e+02,1.776776801876016236e+02,8.907131556320514392e+02,9.376510599308321048e+01,1.361642035082554436e+01,1.881944276130359972e+00
1.700000000000000000e+02,1.723639551726453192e+02,8.880562931245733580e+02,9.675407631399613706e+01,1.328431253739077533e+01,1.881944276130359972e+00
1.800000000000000000e+02,1.639505572322978253e+02,8.831853785275301334e+02,9.963234403043081500e+01,1.594117504486892933e+01,1.217728649260821028e+00
1.900000000000000000e+02,1.690428770382976040e+02,8.853994306170951631e+02,9.941093882147428928e+01,1.428063597769508242e+01,8.856208358260516667e-01
2.000000000000000000e+02,1.617365051427326819e+02,8.828532707140952880e+02,1.000751544483438380e+02,1.505555420904287978e+01,1.992646880608616167e+00
2.100000000000000000e+02,1.650575832770803686e+02,8.839602967588778029e+02,9.941093882147428928e+01,1.516625681352113375e+01,1.439133858217333861e+00
2.200000000000000000e+02,1.655003936949933916e+02,8.844031071767908543e+02,9.930023621699604064e+01,1.461274379112985322e+01,1.660539067173846917e+00
2.300000000000000000e+02,1.679358509935150607e+02,8.853994306170951631e+02,9.996445184386558935e+01,1.317360993291251781e+01,1.439133858217333861e+00
2.400000000000000000e+02,1.683786614114280837e+02,8.858422410350082146e+02,9.985374923938732650e+01,1.262009691052123550e+01,1.660539067173846917e+00
2.500000000000000000e+02,1.672716353666455120e+02,8.855101332215734828e+02,9.941093882147428928e+01,1.317360993291251781e+01,1.881944276130359972e+00
2.600000000000000000e+02,1.637291520233412996e+02,8.831853785275301334e+02,1.001858570528221009e+02,1.527695941799939128e+01,1.328431253739077444e+00
2.700000000000000000e+02,1.661646093218629403e+02,8.841817019678344423e+02,1.007393700752133725e+02,1.394852816426031339e+01,1.107026044782564611e+00
2.800000000000000000e+02,1.674930405756020093e+02,8.852887280126168434e+02,9.963234403043081500e+01,1.350571774634728683e+01,1.549836462695590500e+00
2.900000000000000000e+02,1.646147728591673740e+02,8.839602967588778029e+02,9.841461538116998042e+01,1.594117504486892933e+01,1.660539067173846917e+00
3.000000000000000000e+02,1.677144457845585350e+02,8.853994306170951631e+02,9.952164142595256635e+01,1.350571774634728683e+01,1.549836462695590500e+00
3.100000000000000000e+02,1.641719624412543226e+02,8.839602967588778029e+02,9.996445184386558935e+01,1.416993337321682667e+01,1.881944276130359972e+00
