x,Curve1
6.87e-08,128.95
1.2913e-07,944.31
1.9076e-07,94.094
1.928e-07,195.35
1.9381e-07,13.034
1.9417e-07,68.66
2.3117e-07,242.18
2.6589e-07,17.111
2.7878e-07,4.4517
3.2736e-07,28.25
3.8173e-07,5.1373
4.3895e-07,1.6569
5.0937e-07,4.6471
1.0427e-06,1.209
2.6509e-06,0.9477
2.6625e-06,1.2803
2.6703e-06,1.5646
3.7954e-06,1.09365
4.4201e-06,0.84509
2.5877e-05,1.2264
2.6883e-05,0.78669
2.6922e-05,0.86965
7.22e-05,1.2441
7.676e-05,0.84509
9.353e-05,0.6817
9.455e-05,1.4357
0.00010198,2.6203
0.00013044,0.59925
0.00017898,0.79803
0.00018386,1.09365
0.00020835,2.7748
0.00034857,0.672
0.00043729,0.86965
0.00044557,0.6817
0.00061113,0.8822
0.0008366,1.00359
