x,Curve1
2.8601e-08,0.82123
6.4623e-08,1.912
6.8635e-08,1.209
7.0023e-08,1.03275
1.1485e-07,1.3754
1.3685e-07,1.10943
1.3924e-07,0.78669
1.917e-07,1.3175
1.9229e-07,1.6333
1.9253e-07,1.7799
1.9326e-07,2.3034
2.185e-07,1.0781
2.6194e-07,1.3175
2.8353e-07,3.0675
3.219e-07,1.912
3.8293e-07,1.3754
4.1578e-07,3.9697
4.6184e-07,2.5463
5.0085e-07,1.4565
8.715e-07,5.2866
2.5918e-06,4.3259
2.6431e-06,3.591
2.7315e-06,7.4554
3.8095e-06,6.5537
4.1893e-06,9.7874
2.4465e-05,11.961
2.6022e-05,8.3606
2.6465e-05,5.761
7.656e-05,15.259
7.779e-05,9.7874
9.23e-05,27.452
9.627e-05,23.116
0.0001033,29.49
0.00012978,9.111
0.00018179,10.8197
0.000198,38.714
0.0003659,4.0851
0.00040211,27.061
0.00043992,6.1007
0.00047173,7.4554
0.00059938,4.9922
0.0008447,1.9396
0.0009065,2.5101
0.000954,3.9132
0.0015118,2.2706
0.0015163,2.7748
0.0018414,1.7799
0.0019286,1.996
0.0024024,1.5872
0.0030613,1.2988
0.0041762,1.1581
0.0063308,0.6817
0.006344,0.78669
0.008849,0.70151
0.011067,0.73231
0.012344,0.62556
0.019323,0.7219
0.023064,0.65303
