# time,RO
5.203999999999999737e-01,-1.176000000000000101e-01
6.478999999999999204e-01,-1.147999999999999993e-01
8.351999999999999424e-01,-7.524999999999999745e-02
1.007600000000000051e+00,-3.570000000000000256e-02
1.050400000000000000e+00,1.217999999999999972e+00
1.059499999999999886e+00,2.877000000000000113e-01
1.083499999999999908e+00,3.759350000000000414e+00
1.108000000000000096e+00,2.579150000000000276e+00
1.156900000000000039e+00,4.655700000000000394e+00
1.240299999999999958e+00,4.156600000000000072e+00
1.240499999999999936e+00,8.415050000000000807e+00
1.257700000000000040e+00,7.091350000000000264e+00
1.283900000000000041e+00,4.909099999999999575e+00
1.301600000000000090e+00,7.700699999999999434e+00
1.338400000000000034e+00,8.130849999999998801e+00
1.404100000000000126e+00,9.134299999999999642e+00
1.447500000000000009e+00,1.010169999999999924e+01
1.478600000000000136e+00,9.422349999999999781e+00
1.501800000000000024e+00,9.029299999999999216e+00
1.555299999999999905e+00,8.386000000000001009e+00
1.561199999999999921e+00,9.316649999999999210e+00
1.578500000000000014e+00,7.992949999999999555e+00
1.630600000000000049e+00,8.244600000000000151e+00
1.714300000000000157e+00,7.494899999999999451e+00
1.770599999999999952e+00,9.607499999999999929e+00
1.780200000000000005e+00,8.390900000000000247e+00
1.882299999999999862e+00,1.003939999999999877e+01
1.887299999999999978e+00,7.140699999999999825e+00
1.891999999999999904e+00,8.787100000000000577e+00
1.895999999999999908e+00,6.425300000000000011e+00
1.984500000000000153e+00,7.285949999999999704e+00
2.052299999999999791e+00,7.108500000000000263e+00
2.114200000000000301e+00,6.000399999999999956e+00
2.148800000000000043e+00,7.647499999999999964e+00
2.225900000000000212e+00,6.432299999999999685e+00
2.306599999999999984e+00,7.436100000000000598e+00
2.334400000000000031e+00,4.358900000000000219e+00
2.422299999999999898e+00,5.505850000000000577e+00
2.487400000000000055e+00,6.938750000000000639e+00
2.531500000000000306e+00,7.404950000000000365e+00
2.563499999999999890e+00,6.224750000000000227e+00
2.587600000000000122e+00,5.294799999999999507e+00
2.663300000000000001e+00,4.902800000000000047e+00
2.677599999999999980e+00,5.296899999999999942e+00
2.746500000000000163e+00,4.475100000000000300e+00
2.797099999999999920e+00,5.549949999999999939e+00
2.863299999999999734e+00,6.267100000000000115e+00
2.885299999999999976e+00,6.553749999999999964e+00
2.939200000000000035e+00,5.731950000000000323e+00
2.963600000000000012e+00,4.622799999999999798e+00
3.040299999999999780e+00,3.622499999999999609e+00
3.117999999999999883e+00,2.013900000000000023e+00
3.123600000000000154e+00,3.087349999999999817e+00
3.161799999999999944e+00,2.694650000000000212e+00
3.182599999999999874e+00,3.661349999999999660e+00
3.248899999999999899e+00,4.378499999999999837e+00
3.279500000000000082e+00,3.985450000000000159e+00
3.333699999999999886e+00,2.984799999999999898e+00
3.334499999999999797e+00,2.519299999999999873e+00
3.369099999999999984e+00,4.202099999999999724e+00
3.390099999999999891e+00,5.061700000000000088e+00
3.472999999999999865e+00,4.812850000000000072e+00
3.486200000000000188e+00,5.850950000000000095e+00
3.515299999999999869e+00,6.388199999999999434e+00
3.574500000000000011e+00,6.819049999999999834e+00
3.628400000000000070e+00,5.997250000000000192e+00
3.636899999999999800e+00,5.424649999999999750e+00
3.679800000000000182e+00,6.642300000000000537e+00
3.703500000000000014e+00,5.891550000000000509e+00
3.720099999999999962e+00,4.996950000000000003e+00
3.749299999999999855e+00,5.427100000000000257e+00
3.815300000000000136e+00,6.287399999999999878e+00
3.846000000000000085e+00,5.858650000000000801e+00
3.866400000000000059e+00,7.111650000000000027e+00
3.871900000000000119e+00,3.890950000000000131e+00
3.878000000000000114e+00,4.678450000000000664e+00
3.936500000000000110e+00,5.538399999999999324e+00
3.990200000000000191e+00,4.859750000000000014e+00
4.013600000000000279e+00,4.323550000000000004e+00
4.059400000000000119e+00,3.859099999999999753e+00
4.120000000000000107e+00,3.466749999999999776e+00
4.139899999999999913e+00,4.970349999999999824e+00
4.163400000000000212e+00,4.398099999999999454e+00
4.186700000000000088e+00,3.897600000000000176e+00
4.223499999999999588e+00,4.292049999999999699e+00
4.246599999999999930e+00,3.934700000000000308e+00
4.299699999999999633e+00,3.578050000000000175e+00
4.305500000000000327e+00,4.580099999999999838e+00
4.325699999999999434e+00,5.904849999999999710e+00
4.401400000000000645e+00,5.476799999999999891e+00
4.425200000000000244e+00,4.690000000000000391e+00
4.455899999999999750e+00,4.296949999999999825e+00
4.471400000000000041e+00,3.975299999999999834e+00
4.491999999999999993e+00,5.085150000000000503e+00
4.542699999999999960e+00,6.124299999999999855e+00
4.581699999999999662e+00,5.266100000000000669e+00
4.609700000000000131e+00,6.411999999999999922e+00
4.649099999999999788e+00,5.303199999999999470e+00
4.680600000000000094e+00,4.409299999999999997e+00
4.704100000000000392e+00,3.801349999999999785e+00
4.741500000000000270e+00,3.873800000000000132e+00
4.772899999999999920e+00,3.051299999999999901e+00
4.868999999999999773e+00,3.804850000000000065e+00
4.912499999999999645e+00,4.700499999999999901e+00
4.929600000000000648e+00,3.448550000000000004e+00
4.968600000000000350e+00,2.554650000000000087e+00
5.005899999999999572e+00,2.698500000000000121e+00
5.042799999999999727e+00,3.021199999999999886e+00
5.081400000000000361e+00,2.377899999999999903e+00
5.112099999999999866e+00,1.949150000000000160e+00
5.113100000000000200e+00,1.376549999999999940e+00
5.246800000000000352e+00,2.095450000000000035e+00
5.270999999999999908e+00,1.093750000000000000e+00
5.298799999999999955e+00,2.346750000000000114e+00
5.360299999999999621e+00,1.453549999999999898e+00
5.396899999999999586e+00,1.955450000000000133e+00
5.412899999999999601e+00,1.383199999999999985e+00
5.457099999999999618e+00,1.849399999999999933e+00
5.495400000000000063e+00,1.384950000000000125e+00
5.599800000000000111e+00,1.709049999999999958e+00
5.623199999999999754e+00,1.172849999999999948e+00
5.680299999999999905e+00,2.856000000000000316e+00
5.681199999999999584e+00,2.319449999999999790e+00
5.771099999999999675e+00,2.321200000000000152e+00
5.876699999999999591e+00,1.965600000000000014e+00
5.890699999999999825e+00,2.538549999999999862e+00
5.949099999999999611e+00,3.434549999999999770e+00
6.003599999999999604e+00,2.254700000000000149e+00
