# time, RO
2.657800000000000296e+02,-4.787999999999999895e-02
3.176999999999999886e+02,-2.029299999999999993e-01
3.443700000000000045e+02,1.610000000000000103e-03
3.718400000000000318e+02,1.404200000000000170e-01
4.116399999999999864e+02,1.389499999999999902e-01
4.412500000000000568e+02,6.349000000000000477e-02
4.662400000000000091e+02,1.586899999999999977e-01
5.037500000000000568e+02,8.609999999999999598e-03
5.379900000000000091e+02,1.166200000000000014e-01
5.732400000000000091e+02,5.262599999999999500e-01
6.123700000000000045e+02,9.532599999999999962e-01
6.394400000000000546e+02,1.065890000000000004e+00
6.900900000000000318e+02,1.064000000000000057e+00
7.101899999999999409e+02,9.582999999999999297e-01
7.432799999999999727e+02,7.558600000000000874e-01
7.708799999999999955e+02,9.034899999999999043e-01
7.805999999999999091e+02,1.064909999999999801e+00
7.921299999999999955e+02,1.344279999999999919e+00
8.079499999999999318e+02,1.667259999999999964e+00
8.190000000000000000e+02,1.679930000000000145e+00
8.523600000000000136e+02,1.494990000000000041e+00
8.803000000000000682e+02,1.428350000000000009e+00
9.169499999999999318e+02,1.575630000000000086e+00
9.489099999999999682e+02,1.653120000000000145e+00
9.834199999999999591e+02,1.896650000000000169e+00
1.022879999999999995e+03,1.991290000000000004e+00
1.050209999999999809e+03,1.767290000000000250e+00
1.084109999999999900e+03,1.735369999999999857e+00
1.116470000000000027e+03,1.839040000000000008e+00
1.146150000000000091e+03,1.767990000000000173e+00
1.178570000000000164e+03,1.521869999999999834e+00
1.215819999999999936e+03,1.590400000000000036e+00
1.255150000000000091e+03,1.558270000000000044e+00
1.267669999999999845e+03,1.431010000000000115e+00
1.301439999999999827e+03,1.390409999999999924e+00
1.341500000000000000e+03,1.524389999999999912e+00
1.376679999999999836e+03,1.811599999999999877e+00
