# time,RO
5.689999999999999503e-01,2.722999999999999865e-01
7.625999999999999446e-01,2.421999999999999986e-01
8.519999999999999796e-01,2.446499999999999786e-01
9.637999999999999901e-01,2.478000000000000203e-01
1.075600000000000112e+00,2.512999999999999678e-01
1.093099999999999961e+00,8.564499999999999336e-01
1.121799999999999908e+00,2.350949999999999651e+00
1.136500000000000066e+00,5.801599999999999646e+00
1.151299999999999990e+00,4.023600000000000065e+00
1.156600000000000072e+00,5.268550000000000288e+00
1.193200000000000038e+00,5.127499999999999503e+00
1.242499999999999938e+00,6.196049999999999613e+00
1.248799999999999910e+00,7.689849999999999852e+00
1.287600000000000078e+00,9.789850000000001273e+00
1.309900000000000064e+00,1.153319999999999901e+01
1.332500000000000018e+00,1.334794999999999909e+01
1.401299999999999990e+00,1.548399999999999999e+01
1.463300000000000045e+00,1.605485000000000184e+01
1.490399999999999947e+00,1.541539999999999999e+01
1.555600000000000094e+00,1.673315000000000197e+01
1.676200000000000134e+00,1.531390000000000029e+01
1.744800000000000129e+00,1.567159999999999975e+01
1.778599999999999959e+00,1.485435000000000016e+01
1.845699999999999896e+00,1.485645000000000060e+01
1.940599999999999881e+00,1.439654999999999951e+01
2.003499999999999837e+00,1.518090000000000117e+01
2.038199999999999790e+00,1.457715000000000138e+01
2.154399999999999871e+00,1.561209999999999987e+01
2.217400000000000038e+00,1.465344999999999942e+01
2.276799999999999713e+00,1.636250000000000071e+01
2.341000000000000192e+00,1.568840000000000146e+01
2.439300000000000246e+00,1.601144999999999996e+01
2.467000000000000082e+00,1.551445000000000007e+01
2.688099999999999934e+00,1.669430000000000192e+01
2.735800000000000232e+00,1.566425000000000090e+01
2.849800000000000111e+00,1.616544999999999987e+01
3.040799999999999947e+00,1.553054999999999986e+01
3.136600000000000055e+00,1.354150000000000098e+01
3.311399999999999899e+00,1.432899999999999885e+01
3.388199999999999878e+00,1.312185000000000024e+01
3.467099999999999849e+00,1.415540000000000020e+01
3.629900000000000126e+00,1.387575000000000003e+01
3.674900000000000055e+00,1.394819999999999993e+01
3.810000000000000053e+00,1.242255000000000109e+01
3.871100000000000207e+00,1.277990000000000137e+01
3.936399999999999899e+00,1.061200000000000010e+01
4.107200000000000628e+00,1.047444999999999915e+01
4.217800000000000438e+00,1.019304999999999950e+01
4.324799999999999756e+00,1.083634999999999948e+01
4.420399999999999885e+00,8.776249999999999218e+00
4.523500000000000298e+00,8.494500000000000384e+00
4.637700000000000600e+00,9.067099999999999937e+00
4.710100000000000620e+00,8.571149999999999380e+00
4.772199999999999775e+00,9.141999999999999460e+00
4.904799999999999827e+00,8.789899999999999380e+00
5.003199999999999648e+00,9.148300000000000765e+00
5.054599999999999760e+00,8.972250000000000725e+00
5.098900000000000432e+00,8.866550000000000153e+00
5.157300000000000217e+00,8.583750000000000213e+00
5.208999999999999631e+00,6.735750000000000348e+00
5.240999999999999659e+00,5.491500000000000270e+00
5.367700000000000138e+00,5.495350000000000179e+00
5.428300000000000125e+00,5.745950000000000557e+00
5.444499999999999673e+00,6.030850000000000044e+00
5.496299999999999741e+00,5.961199999999999832e+00
5.546999999999999709e+00,5.607000000000000206e+00
5.575300000000000367e+00,5.252099999999999547e+00
5.617700000000000138e+00,4.719750000000000334e+00
5.654099999999999682e+00,4.507299999999999862e+00
5.716300000000000381e+00,5.113849999999999341e+00
5.770199999999999996e+00,5.542249999999999233e+00
5.812199999999999811e+00,4.903150000000000119e+00
5.818299999999999805e+00,4.583250000000000490e+00
5.902899999999999814e+00,5.190499999999999226e+00
5.961899999999999977e+00,5.049799999999999400e+00
5.982999999999999652e+00,4.765950000000000131e+00
